Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Onshore Wind Turbine,PJM,59296,105.0,41.016944,-84.593611,,279419.0,0.0,0.0
Onshore Wind Turbine,PJM,59547,150.0,40.620556,-87.378056,,387658.0,0.0,0.0
Onshore Wind Turbine,PJM,59024,1.0,41.602222,-81.496944,,560.0,0.0,0.0
Onshore Wind Turbine,PJM,59061,278.0,40.011111,-89.047222,,1058352.0,0.0,0.0
Onshore Wind Turbine,PJM,59147,30.0,39.404564,-79.291143,,86154.0,0.0,0.0
Onshore Wind Turbine,PJM,60329,39.9,39.744722,-79.188056,,99927.0,0.0,0.0
Onshore Wind Turbine,PJM,60587,184.0,40.9675,-88.1975,,592418.0,0.0,0.0
Onshore Wind Turbine,PJM,60551,90.0,41.869326,-77.665939,,254596.0,0.0,0.0
Onshore Wind Turbine,PJM,60471,194.3,41.620264,-89.557033,,503781.0,0.0,0.0
Onshore Wind Turbine,PJM,60470,100.8,41.121,-84.751,,299463.0,0.0,0.0
Onshore Wind Turbine,PJM,60128,1.5,41.096111,-83.641381,,10062.0,0.0,0.0
Offshore Wind Turbine,PJM,59693,12.0,36.89155,-75.4916,,46969.0,0.0,0.0
Onshore Wind Turbine,PJM,60132,103.0,39.200639,-79.140639,,294423.0,0.0,0.0
Onshore Wind Turbine,PJM,60128,1.5,41.096111,-83.641381,,10062.0,0.0,0.0
Onshore Wind Turbine,PJM,60128,1.5,41.096111,-83.641381,,10062.0,0.0,0.0
Onshore Wind Turbine,PJM,60126,1.5,40.718292,-83.22865,,2918.0,0.0,0.0
Onshore Wind Turbine,PJM,60015,3.0,41.101219,-83.644394,,7166.0,0.0,0.0
Onshore Wind Turbine,PJM,59968,208.0,36.31,-76.42,,519101.0,0.0,0.0
Onshore Wind Turbine,PJM,58220,1.5,41.016111,-84.5875,,11721.999,0.0,0.0
Onshore Wind Turbine,PJM,58220,1.5,41.016111,-84.5875,,11721.999,0.0,0.0
Onshore Wind Turbine,PJM,58220,1.5,41.016111,-84.5875,,11721.999,0.0,0.0
Onshore Wind Turbine,PJM,57964,109.5,41.666944,-89.059722,,318802.0,0.0,0.0
Onshore Wind Turbine,PJM,57998,139.4,39.760556,-78.874722,,382545.0,0.0,0.0
Onshore Wind Turbine,PJM,57991,75.0,40.319561,-78.680633,,167338.0,0.0,0.0
Onshore Wind Turbine,PJM,57999,30.0,40.63067,-78.696078,,81248.0,0.0,0.0
Onshore Wind Turbine,PJM,58780,249.8,40.561389,-83.736389,,521333.0,0.0,0.0
Onshore Wind Turbine,PJM,58694,212.0,41.496667,-89.580278,,747579.0,0.0,0.0
Onshore Wind Turbine,PJM,58904,40.0,39.641111,-79.011111,,111412.0,0.0,0.0
Onshore Wind Turbine,PJM,58898,175.0,40.999169,-88.056247,,568025.0,0.0,0.0
Onshore Wind Turbine,PJM,58887,2.5,41.660278,-89.249722,,6488.0,0.0,0.0
Onshore Wind Turbine,PJM,58416,200.0,40.066667,-85.013333,,622926.0,0.0,0.0
Onshore Wind Turbine,PJM,58630,3.4,40.449444,-83.893333,,7605.0,0.0,0.0
Onshore Wind Turbine,PJM,63251,79.0,41.203214,-89.601872,,267165.0,0.0,0.0
Onshore Wind Turbine,PJM,63988,250.0,40.661079,-88.395079,,866645.0,0.0,0.0
Onshore Wind Turbine,PJM,63666,130.0,40.360533,-85.113149,,366798.0,0.0,0.0
Onshore Wind Turbine,PJM,62752,1.5,41.192377,-84.61256,,11195.001,0.0,0.0
Onshore Wind Turbine,PJM,62752,1.5,41.192377,-84.61256,,11195.001,0.0,0.0
Onshore Wind Turbine,PJM,62752,1.5,41.192377,-84.61256,,11195.001,0.0,0.0
Onshore Wind Turbine,PJM,63003,105.5,41.0,-89.996844,,27641.0,0.0,0.0
Onshore Wind Turbine,PJM,62944,125.1,41.121,-84.751,,379200.0,0.0,0.0
Onshore Wind Turbine,PJM,65741,87.6,40.745335,-78.222305,,69139.0,0.0,0.0
Onshore Wind Turbine,PJM,66568,108.3,41.666523,-89.059804,,84834.0,0.0,0.0
Onshore Wind Turbine,PJM,66261,1.5,41.466,-83.367,,0.0,0.0,0.0
Onshore Wind Turbine,PJM,66261,1.5,41.466,-83.367,,0.0,0.0,0.0
Onshore Wind Turbine,PJM,66261,1.5,41.466,-83.367,,0.0,0.0,0.0
Onshore Wind Turbine,PJM,64088,200.5,40.1972,-89.067655,,358911.0,0.0,0.0
Onshore Wind Turbine,PJM,64433,115.0,39.366803,-79.108263,,350807.0,0.0,0.0
Onshore Wind Turbine,PJM,61356,1.5,41.084329,-83.644131,,6940.0,0.0,0.0
Onshore Wind Turbine,PJM,61344,150.0,41.055385,-88.993862,,434749.0,0.0,0.0
Onshore Wind Turbine,PJM,61330,66.0,40.793073,-83.728714,,195053.0,0.0,0.0
Onshore Wind Turbine,PJM,61303,119.7,40.319,-84.9769,,375199.0,0.0,0.0
Onshore Wind Turbine,PJM,61356,1.5,41.084329,-83.644131,,6940.0,0.0,0.0
Onshore Wind Turbine,PJM,61735,185.0,40.03,-89.381,,547814.0,0.0,0.0
Onshore Wind Turbine,PJM,61660,1.5,40.131293,-84.609857,,10253.001,0.0,0.0
Onshore Wind Turbine,PJM,61660,1.5,40.131293,-84.609857,,10253.001,0.0,0.0
Onshore Wind Turbine,PJM,61660,1.5,40.131293,-84.609857,,10253.001,0.0,0.0
Onshore Wind Turbine,PJM,61004,1.5,41.002764,-84.033742,,3782.0,0.0,0.0
Onshore Wind Turbine,PJM,61005,1.5,40.591154,-83.178491,,8895.999,0.0,0.0
Onshore Wind Turbine,PJM,61005,1.5,40.591154,-83.178491,,8895.999,0.0,0.0
Onshore Wind Turbine,PJM,61005,1.5,40.591154,-83.178491,,8895.999,0.0,0.0
Onshore Wind Turbine,PJM,62482,56.2,38.112222,-80.613055,,142623.0,0.0,0.0
Onshore Wind Turbine,PJM,62653,1.5,41.093078,-83.637778,,10442.001,0.0,0.0
Onshore Wind Turbine,PJM,62653,1.5,41.093078,-83.637778,,10442.001,0.0,0.0
Onshore Wind Turbine,PJM,62653,1.5,41.093078,-83.637778,,10442.001,0.0,0.0
Onshore Wind Turbine,PJM,62592,200.0,40.051694,-85.206694,,538622.0,0.0,0.0
Onshore Wind Turbine,PJM,62606,65.0,39.929,-89.19,,174425.0,0.0,0.0
Onshore Wind Turbine,PJM,57862,200.0,40.349444,-85.843056,,649922.0,0.0,0.0
Onshore Wind Turbine,PJM,56369,34.5,39.85,-79.138,,85772.0,0.0,0.0
Onshore Wind Turbine,PJM,56297,53.0,41.25,-89.5708,,203815.0,0.0,0.0
Onshore Wind Turbine,PJM,56338,210.9,40.4792,-88.7989,,504202.0,0.0,0.0
Onshore Wind Turbine,PJM,56300,7.5,39.382222,-74.4475,,18438.0,0.0,0.0
Onshore Wind Turbine,PJM,56299,24.0,41.235278,-75.753056,,52542.0,0.0,0.0
Onshore Wind Turbine,PJM,56622,72.0,41.2294,-89.5572,,148132.0,0.0,0.0
Onshore Wind Turbine,PJM,56614,213.8,40.4792,-88.7989,,520235.0,0.0,0.0
Onshore Wind Turbine,PJM,56640,150.0,41.090583,-89.639811,,363528.0,0.0,0.0
Onshore Wind Turbine,PJM,56651,75.0,40.4381,-78.5436,,72841.0,0.0,0.0
Onshore Wind Turbine,PJM,56495,164.0,39.2175,-79.2094,,573187.0,0.0,0.0
Onshore Wind Turbine,PJM,56451,80.0,40.383889,-78.579444,,178172.0,0.0,0.0
Onshore Wind Turbine,PJM,56450,80.0,41.643611,-89.173056,,92470.0,0.0,0.0
Onshore Wind Turbine,PJM,56470,26.0,40.855,-76.1292,,54545.0,0.0,0.0
Onshore Wind Turbine,PJM,56495,100.0,39.2175,-79.2094,,573187.0,0.0,0.0
Onshore Wind Turbine,PJM,56226,1.8,41.3786,-83.7383,,4596.0,0.0,0.0
Onshore Wind Turbine,PJM,56226,1.8,41.3786,-83.7383,,4596.0,0.0,0.0
Onshore Wind Turbine,PJM,56160,76.2,41.7194,-89.0492,,243065.0,0.0,0.0
Onshore Wind Turbine,PJM,56052,30.0,39.790739,-79.002047,,36806.0,0.0,0.0
Onshore Wind Turbine,PJM,56226,1.8,41.3786,-83.7383,,4596.0,0.0,0.0
Onshore Wind Turbine,PJM,56226,1.8,41.3786,-83.7383,,4596.0,0.0,0.0
Onshore Wind Turbine,PJM,56001,64.5,41.5533,-75.4542,,102834.0,0.0,0.0
Onshore Wind Turbine,PJM,55986,66.0,39.1828,-79.5372,,53768.0,0.0,0.0
Onshore Wind Turbine,PJM,55805,15.0,39.913408,-79.393644,,15679.0,0.0,0.0
Onshore Wind Turbine,PJM,55803,9.0,39.979167,-79.012778,,5686.0,0.0,0.0
Onshore Wind Turbine,PJM,56699,29.4,40.0853,-78.8633,,44308.0,0.0,0.0
Onshore Wind Turbine,PJM,56700,37.8,39.8794,-78.9183,,86810.0,0.0,0.0
Onshore Wind Turbine,PJM,57325,217.5,41.7678,-88.8867,,623324.0,0.0,0.0
Onshore Wind Turbine,PJM,57449,302.0,40.931515,-84.561824,,734180.0,0.0,0.0
Onshore Wind Turbine,PJM,57447,97.6,39.0072,-79.8866,,241213.0,0.0,0.0
Onshore Wind Turbine,PJM,57463,200.0,41.215278,-90.120833,,564142.0,0.0,0.0
Onshore Wind Turbine,PJM,57300,70.0,39.4047,-79.29,,166976.0,0.0,0.0
Onshore Wind Turbine,PJM,57240,10.0,39.287222,-79.434444,,23397.0,0.0,0.0
Onshore Wind Turbine,PJM,57239,40.0,39.254444,-79.467222,,93587.0,0.0,0.0
Onshore Wind Turbine,PJM,57284,200.0,40.888611,-88.997222,,580423.0,0.0,0.0
Onshore Wind Turbine,PJM,57268,38.0,40.522846,-78.476921,,92785.0,0.0,0.0
Onshore Wind Turbine,PJM,57285,50.0,40.729207,-78.28735,,114500.0,0.0,0.0
Onshore Wind Turbine,PJM,57769,140.8,41.420556,-76.049167,,343329.0,0.0,0.0
Onshore Wind Turbine,PJM,57744,69.0,41.5323,-77.0296,,154149.0,0.0,0.0
Onshore Wind Turbine,PJM,57570,4.5,40.905833,-84.570277,,11501.0,0.0,0.0
Onshore Wind Turbine,PJM,57595,53.7,39.445,-79.03,,186284.0,0.0,0.0
Onshore Wind Turbine,PJM,57628,100.0,40.716111,-87.021111,,311947.0,0.0,0.0
Onshore Wind Turbine,PJM,57623,205.2,40.701241,-88.701054,,681924.0,0.0,0.0
Onshore Wind Turbine,PJM,57620,99.0,41.025278,-84.779166,,300185.0,0.0,0.0
Onshore Wind Turbine,PJM,57613,2.5,41.584444,-81.525555,,4248.0,0.0,0.0
Onshore Wind Turbine,PJM,56941,99.0,41.2269,-88.6836,,426021.0,0.0,0.0
Onshore Wind Turbine,PJM,56770,102.0,40.8411,-76.1547,,187773.0,0.0,0.0
Onshore Wind Turbine,PJM,56777,101.3,40.583889,-87.3336,,1183954.999,0.0,0.0
Onshore Wind Turbine,PJM,56777,100.0,40.583889,-87.3336,,1183954.999,0.0,0.0
Onshore Wind Turbine,PJM,56777,200.0,40.583889,-87.3336,,1183954.999,0.0,0.0
Onshore Wind Turbine,PJM,56805,100.5,42.451481,-89.878428,,231827.0,0.0,0.0
Onshore Wind Turbine,PJM,56796,50.4,39.7513,-79.7271,,95790.0,0.0,0.0
Onshore Wind Turbine,PJM,56777,88.0,40.583889,-87.3336,,1183954.999,0.0,0.0
Onshore Wind Turbine,PJM,56777,99.0,40.583889,-87.3336,,1183954.999,0.0,0.0
Onshore Wind Turbine,PJM,56941,51.0,41.2269,-88.6836,,426021.0,0.0,0.0
Onshore Wind Turbine,PJM,56941,49.5,41.2269,-88.6836,,426021.0,0.0,0.0
Onshore Wind Turbine,PJM,56941,10.5,41.2269,-88.6836,,426021.0,0.0,0.0
Onshore Wind Turbine,PJM,57115,103.5,40.5986,-87.0194,,234266.0,0.0,0.0
Onshore Wind Turbine,PJM,57113,200.0,41.1406,-88.53,,455222.0,0.0,0.0
Onshore Wind Turbine,PJM,57112,102.3,40.6431,-87.0242,,205121.0,0.0,0.0
Onshore Wind Turbine,PJM,57110,106.0,41.1508,-88.6233,,225915.0,0.0,0.0
Onshore Wind Turbine,PJM,57109,199.7,40.6275,-86.935,,399004.0,0.0,0.0
Onshore Wind Turbine,PJM,57094,300.0,40.9969,-88.49,,679095.0,0.0,0.0
Onshore Wind Turbine,PJM,57182,3.2,39.959167,-76.455555,,5641.0,0.0,0.0
Onshore Wind Turbine,PJM,57177,105.7,40.6778,-87.0328,,172814.0,0.0,0.0
Onshore Wind Turbine,PJM,57176,2.0,38.782931,-75.164903,,4165.0,0.0,0.0
Onshore Wind Turbine,PJM,57151,100.5,38.0878,-80.4925,,247134.0,0.0,0.0
Onshore Wind Turbine,PJM,57139,62.5,40.3042,-78.6908,,121554.0,0.0,0.0
Onshore Wind Turbine,PJM,57135,239.4,41.599167,-89.456111,,674716.0,0.0,0.0
Onshore Wind Turbine,PJM,56980,52.5,40.0311,-78.8153,,128004.0,0.0,0.0
Onshore Wind Turbine,PJM,57044,100.5,41.7619,-76.8553,,224011.0,0.0,0.0
Onshore Wind Turbine,PJM,79443,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79444,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79445,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79446,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79447,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79448,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79449,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79450,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79451,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79452,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79453,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79454,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79455,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79456,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79457,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79458,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79459,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79460,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79461,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79462,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79463,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79464,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79465,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79466,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79467,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79468,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79469,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79470,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79471,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79472,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79473,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79474,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79475,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79476,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79477,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79478,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79479,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79480,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79481,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79482,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79483,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79484,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79485,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79486,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79487,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79488,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79489,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79490,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79491,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79492,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79493,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79494,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79495,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79496,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79497,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79498,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79499,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79500,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79501,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79502,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79503,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79504,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
